VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38
20524842,93.47,Delhi - Asaf Ali Road,N,7157.0,33.0,Y,16.22784,10000000.0,HDFC BANK,bangalore,Delhi - Nehru Place,Tier I,24.0,Graduation,Female,495000.0,Trading,Single,Indian,Salaried,Non Par,HDFC BANK,"ECS,SI",Protection,Annual,HDFC Life Click 2 Protect 3D+,2018-07-07,1,Resident Indian,40.0,1,N,Karnataka,HDFC BANK,10000000.0,North 1,1
20282387,0.8159,Ahmedabad Vastrapur Branch,N,25000.0,42.0,N,28.34467,145501.0,HDFC BANK,Navsari,Ahmedabad - Vastrapur,Tier III,47.0,S S C,Male,100000.0,Building Materials,Married,Indian,Self employed/ Business,Par,HDFC BANK,Online Credit/Debit Card/Teles Sales,Savings,Annual,HDFC Life Super Income Plan,2018-03-31,0,Resident Indian,16.0,0,N,Gujarat,HDFC BANK,145501.0,West,1
20705884,87.58,Jaipur-Tonk Road,N,35000.0,35.0,Y,21.875,800000.0,Ex-HDFC,jaipur,Jaipur-Tonk Road,Tier II,52.0,B A,Male,700000.0,Service,Married,Indian,Self employed/ Business,UL,HDFC Sales Private Limited,Cheque,Investment,Monthly Premium,HDFC SL ProGrowth - Flexi,2018-06-09,0,Resident Indian,15.0,1,N,Rajasthan,HDFC Sales,1600000.0,North 2,1
20438784,97.19,Bhavnagar - Patni Plaza,N,15000.0,45.0,Y,20.70082,300000.0,HDFC BANK,botad,Bhavnagar - Patni Plaza,Tier III,39.0,S S C,Male,250000.0,Labour,Married,Indian,Self employed/ Business,UL,HDFC BANK,"ECS,SI",Childrens Plan,Annual,HDFC YOUNGSTAR SUPER PREMIUM,2018-06-06,0,Resident Indian,20.0,1,N,Gujarat,HDFC BANK,165000.0,West,1
20777320,92.17,Chennai - T Nagar,N,25000.0,19.0,Y,20.81165,1250000.0,HDFC BANK,chennai,Chennai - T. Nagar,Tier I,31.0,Graduation,Female,300000.0,Medical,Married,Indian,Salaried,UL,HDFC BANK,DD,Investment,Annual,HDFC SL ProGrowth - Flexi,2018-03-10,0,Resident Indian,10.0,1,N,Tamil Nadu,HDFC BANK,1000000.0,South 1,1
20385571,64.71,Ludhiana - Feroze Gandhi Mrkt,N,25000.0,46.0,Y,21.30395,250000.0,HDFC BANK,ludhiana,Ludhiana - Feroze Gandhi Mrkt,Tier II,27.0,B A,Female,450000.0,Sales,Married,Indian,Salaried,UL,HDFC BANK,DD,Investment,Annual,HDFC Life ProGrowth Plus,2018-05-15,0,Resident Indian,10.0,1,N,Punjab,HDFC BANK,500000.0,North 1,1
20152753,0.2878,Balasore - FM Circle,N,7448.0,47.0,N,27.09925,5000000.0,HDFC BANK,Jajpur Road,Balasore - Fm Circle,Tier III,32.0,ITI,Male,540000.0,Railways,Married,Indian,Salaried,Non Par,DUMMY HDFC BANK UPSELL,Online Netbanking,Protection,Annual,HDFCLife Click 2 Protect 3D Plus,2018-06-03,1,Resident Indian,40.0,1,N,Odisha,HDFC BANK Upsell,5000000.0,East,0
20018936,-,Dehradun - NCR Plaza,N,50000.0,22.0,Y,23.4375,1000000.0,Ex-HDFC,Dehradun,Dehradun Ncr Plaza,Tier II,46.0,B Sc,Male,500000.0,Education,Married,Indian,Salaried,UL,HDFC Sales Private Limited,Cheque,Investment,Halfyearly Premium,HDFC SL ProGrowth - Flexi,2018-08-01,0,Resident Indian,15.0,1,N,Uttarakhand,HDFC Sales,2000000.0,North 2,1
21107834,59.1,Kurnool Branch,N,100000.0,34.0,Y,22.7244,583703.0,HDFC BANK,kurnool,Kurnool - Adil Complex,Tier III,47.0,S S C,Male,500000.0,Business,Married,Indian,Self employed/ Business,Par,HDFC BANK,Online Credit/Debit Card/Teles Sales,Savings,Annual,HDFC Life Super Income Plan,2019-01-26,0,Resident Indian,16.0,0,N,Andhra Pradesh,HDFC BANK,583703.0,South 1,1
20500014,68.03,Noida - Sec - 18,N,30000.0,34.0,N,22.67574,300000.0,HDFC BANK,aligarh,Noida - Sec - 18,Tier III,56.0,B A,Male,400000.0,Education,Single,Indian,Salaried,UL,HDFC BANK,DD,Investment,Annual,HDFC Life ProGrowth Plus,2018-06-28,0,Resident Indian,10.0,1,N,Uttar Pradesh,HDFC BANK,600000.0,North 1,1
20820897,72.83,Gurgaon - Sec - 15,N,30000.0,39.0,Y,61.340680000000006,300000.0,HDFC BANK,gurgaon,Gurgaon Mg Road 08-09 Sec15,Tier II,31.0,B A,Male,400000.0,Logistics,Married,Indian,Salaried,UL,HDFC BANK,DD,Investment,Annual,HDFC Life ProGrowth Plus,2018-10-22,0,Resident Indian,10.0,1,N,Haryana,HDFC BANK,600000.0,North 1,1
20842661,79.92,Navsari - Nandini Complex,N,40000.0,42.0,Y,21.2585,400000.0,HDFC BANK,bilimora,Navsari - Nandini Complex,Tier III,58.0,Graduation,Male,700000.0,Railways,Married,Indian,Salaried,UL,HDFC BANK,Cheque,Investment,Annual,HDFC Life ProGrowth Plus,2018-10-29,0,Resident Indian,10.0,0,N,Gujarat,HDFC BANK,400000.0,West,1
20216247,0.9653,Kolkata - Menaka Estate,N,33500.0,29.0,Y,23.73866,307170.0,HDFC BANK,Howrah,Kolkata - Menaka Estate,Tier III,51.0,B Com,Male,1000000.0,Accounts,Married,Indian,Salaried,Par,HDFC BANK,Cheque,Savings,Annual,HDFC Life Super Income Plan,2018-03-21,0,Resident Indian,24.0,0,N,West Bengal,HDFC BANK,307170.0,East,1
21002416,100.0,Guntur - City Center,N,25000.0,22.0,Y,25.39063,800391.0,HDFC BANK,prakasam,Vijayawada - M.L.Towers,Tier III,39.0,S S C,Male,300000.0,Business,Married,Indian,Self employed/ Business,UL,HDFC BANK,Online Credit/Debit Card/Teles Sales,Investment,Annual,HDFC Life ProGrowth Plus,2018-12-27,0,Resident Indian,10.0,0,N,Andhra Pradesh,HDFC BANK,500000.0,South 1,1
20281875,0.9783,Chennai - T Nagar,N,400000.0,36.0,N,25.39063,2544254.0,Brokers & Small CA,Chennai,Chennai - T. Nagar,Tier I,27.0,B E,Male,700000.0,Service,Single,Indian,Self employed/ Business,Par,Integrated Insurance Broking S,Cheque,Savings,Halfyearly Premium,HDFC Life Super Income Plan,2018-03-31,0,Resident Indian,16.0,0,N,Tamil Nadu,Brokers,2398366.0,South 1,1
20668671,100.0,Kolkata - Menaka Estate,N,30000.0,22.0,Y,20.76125,634700.0,HDFC BANK,kolkata,Kolkata - Menaka Estate,Tier I,30.0,B A,Female,500000.0,Trading,Married,Indian,Self employed/ Business,UL,HDFC BANK,"ECS,SI",Investment,Annual,HDFC SL ProGrowth Super II,2018-08-28,0,Resident Indian,10.0,1,N,West Bengal,HDFC BANK,600000.0,East,1
20380338,87.75,Hyderabad - Begumpet,N,30000.0,58.0,N,23.35564,300000.0,Ex-HDFC,k.v.rangareddy,Hyderabad - Begumpet,Tier III,32.0,MBA,Male,1000000.0,Electronics,Married,Indian,Salaried,UL,HDFC SECURITIES LIMITED,Online Credit/Debit Card/Teles Sales,Investment,Annual,HDFC Life ProGrowth Plus,2018-05-14,0,Resident Indian,10.0,0,N,Telangana,HDFC Sec,300000.0,South 1,1
20646907,100.0,Srinagar - Residency Road,N,50000.0,61.0,Y,20.2848,700000.0,HDFC BANK,srinagar,Srinagar - Ig Road,Tier II,57.0,Under Matric (Class l to lX),Female,900000.0,Accounts,Married,Indian,Salaried,UL,HDFC BANK,DD,Investment,Annual,HDFC SL ProGrowth - Flexi,2018-08-18,0,Resident Indian,10.0,0,N,Jammu & Kashmir,HDFC BANK,350000.0,North 1,1
20460839,98.52,Hoshiarpur - Eminent Mall,N,25000.0,78.0,Y,23.05456,350000.0,HDFC BANK,hoshiarpur,Jalandhar - Shoppers Square,Tier III,52.0,B A,Female,500000.0,Agriculture,Married,Indian,Agriculture,UL,HDFC BANK,Cheque,Investment,Annual,HDFC SL ProGrowth Super II,2018-06-14,0,Resident Indian,10.0,0,N,Punjab,HDFC BANK,175000.0,North 1,1
20250093,0.7281,Chennai - T Nagar,N,200000.0,69.0,Y,30.07117,2000000.0,HDFC BANK,Chennai,Chennai - T. Nagar,Tier I,47.0,Graduation,Male,1500000.0,Consultant,Married,Indian,Self employed/ Business,UL,HDFC BANK,Cheque,Savings,Annual,HDFC SL Crest,2018-03-26,0,Resident Indian,10.0,0,N,Tamil Nadu,HDFC BANK,2000000.0,South 1,1
20257887,0.8351,Kanpur - Swaroop Nagar,N,25000.0,35.0,N,24.09297,250000.0,HDFC BANK,Kanpur,Kanpur - Js Tower,Tier II,31.0,Graduation,Male,400000.0,Stock Broking,Married,Indian,Salaried,UL,HDFC BANK,Cheque,Investment,Annual,HDFC Life ProGrowth Plus,2018-03-26,0,Resident Indian,10.0,1,N,Uttar Pradesh,HDFC BANK,500000.0,North 2,0
20522431,67.74,Mumbai - Borivali,N,60000.0,21.0,Y,23.04688,420000.0,HDFC BANK,mumbai,Mumbai - Goregaon Branch,Tier I,62.0,Graduation,Female,300000.0,Business,Married,Indian,Self employed/ Business,UL,HDFC BANK,"ECS,SI",Investment,Annual,HDFC Life ProGrowth Plus,2018-06-07,0,Resident Indian,10.0,0,N,Maharashtra,HDFC BANK,420000.0,West,1
21010637,55.6,Coimbatore - R. S. Puram,N,75000.0,24.0,N,26.346490000000006,2200000.0,Ex-HDFC,bangalore,Erode - Kumar Arcade,Tier I,46.0,M Pharm,Female,500000.0,Healthcare,Married,Indian,Salaried,UL,HDFC Sales Private Limited,DD,Investment,Annual,HDFC SL ProGrowth - Flexi,2018-12-28,0,Resident Indian,10.0,0,N,Karnataka,HDFC Sales,2200000.0,South 1,1
20117050,-,Srinagar - Residency Road,N,30000.0,21.0,N,21.71807,350000.0,HDFC BANK,Baramulla,Srinagar - Ig Road,Tier III,51.0,B A,Female,500000.0,Clothes,Married,Indian,Self employed/ Business,UL,DUMMY HDFC BANK UPSELL,DD,Investment,Annual,HDFC SL ProGrowth - Flexi,2018-07-02,0,Resident Indian,15.0,1,N,Jammu & Kashmir,HDFC BANK Upsell,700000.0,North 1,1
21047962,70.14,Amritsar Branch,N,47847.0,51.0,Y,24.80159,732928.0,HDFC BANK,amritsar,Amritsar - Mall Road,Tier II,22.0,BCA,Male,500000.0,Accounts,Single,Indian,Self employed/ Business,Par,HDFC BANK,DD,Savings,Annual,HDFC Life Uday,2019-09-01,0,Resident Indian,12.0,0,N,Punjab,HDFC BANK,304467.0,North 1,1
21009088,98.18,Thane - Dev Corpora Branch,N,100000.0,43.0,Y,28.34467,700000.0,HDFC BANK,kalyan,Mumbai - Kalyan,Tier III,59.0,Diploma in Civil Engineering,Male,900000.0,Retired,Married,Indian,Others,UL,HDFC BANK,Cheque,Investment,Annual,HDFC Life ProGrowth Plus,2018-12-26,0,Resident Indian,10.0,0,N,Maharashtra,HDFC BANK,700000.0,West,1
20316194,90.16,Bangalore - M.G. Road,N,111459.0,36.0,Y,30.07117,100000000.0,HDFC BANK,bangalore,Bangalore - M.G. Road,Tier I,34.0,MBBS,Male,10000000.0,Doctor,Married,Indian,Salaried,Non Par,HDFC BANK,Online-Bill,Protection,Annual,HDFC Life Click 2 Protect 3D+,2018-04-14,1,Resident Indian,40.0,1,N,Karnataka,HDFC BANK,100000000.0,South 2,1
20949801,63.85,Raipur - Pachpedi Naka,N,40000.0,36.0,Y,19.47715,500000.0,HDFC BANK,bastar,Raipur - Pachpedi Naka,Tier III,56.0,Post Graduation,Male,500000.0,Teaching,Married,Indian,Salaried,UL,HDFC BANK,Cheque,Investment,Annual,HDFC Life ProGrowth Plus,2018-10-12,0,Resident Indian,10.0,0,N,Chattisgarh,HDFC BANK,500000.0,East,1
20769563,79.42,Ankleshwar Branch,N,50000.0,39.0,Y,23.5102,500000.0,HDFC BANK,ankleshwar,Ankleshwar - Old N.H. No. 8,Tier III,39.0,H S C,Male,500000.0,Chemical,Married,Indian,Salaried,UL,HDFC BANK,DD,Investment,Annual,HDFC Life ProGrowth Plus,2018-09-28,0,Resident Indian,10.0,1,N,Gujarat,HDFC BANK,1000000.0,West,1
20065193,0.8113,Bilaspur - Vyapar Vihar,N,40000.0,30.0,Y,22.20408,400000.0,HDFC BANK,Champa,Bilaspur - Vyapar Vihar,Tier III,37.0,Graduation,Male,200000.0,Agriculture,Married,Indian,Agriculture,UL,HDFC BANK,DD,Investment,Annual,HDFC Life ProGrowth Plus,2018-01-31,0,Resident Indian,10.0,1,N,Chattisgarh,HDFC BANK,800000.0,East,1
20475545,84.66,Nangal - Spoke,N,50000.0,12.0,Y,27.68166,350000.0,HDFC BANK,nurpur bedi,Nangal - Spoke,Tier III,55.0,H S C,Male,300000.0,Agriculture,Married,Indian,Agriculture,UL,HDFC BANK,Online Netbanking,Investment,Annual,HDFC SL ProGrowth Super II,2018-06-20,0,Resident Indian,10.0,0,N,Punjab,HDFC BANK,350000.0,North 1,1
20270599,-,Mumbai - Kalyan,N,56000.0,18.0,Y,27.39818,2239200.0,Ex-HDFC,Bhopal,Mumbai - Kalyan,Tier II,33.0,H S C,Male,320000.0,Army,Married,Indian,Salaried,UL,HDFC Sales Private Limited,DD,Investment,Annual,HDFC SL ProGrowth - Flexi,2018-03-29,0,Resident Indian,26.0,1,N,Madhya Pradesh,HDFC Sales,4478400.0,West,1
20334303,0.7431,Haldwani - Bhatia Parav,N,25000.0,35.0,Y,24.60973,250000.0,HDFC BANK,Delhi,Delhi - Asaf Ali Road,Tier I,31.0,H S C,Male,250000.0,Trading,Married,Indian,Self employed/ Business,UL,HDFC BANK,Online Credit/Debit Card/Teles Sales,Investment,Annual,HDFC SL ProGrowth - Flexi,2018-04-16,0,Resident Indian,15.0,1,N,Delhi,HDFC BANK,500000.0,North 2,1
